experiment,seed,dataset,sample_id,df,lr_degradation,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
hashgrid_mlp_baseline_area,6,satburst_synth,UNHCR-SYRs008164_rgb,4,area,mlp_tcnn,hashgrid_tcnn,16,64,2000,36.747859954833984,30.646678924560547,6.1011810302734375,0.9360907673835754,0.7823564410209656,0.15373432636260986,0.17843973636627197,0.37031546235084534,0.19187572598457336,False,64,256,,,8.135293960571289,0.004067646980285645,11.458948135375977,0.0013598952209576964,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-SYRs008164_rgb/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-SYRs008164_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_s2_psf,6,satburst_synth,UNHCR-SYRs008164_rgb,4,s2_psf,mlp_tcnn,hashgrid_tcnn,16,64,2000,29.0460262298584,30.646678924560547,-1.6006526947021484,0.8142078518867493,0.7823564410209656,0.03185141086578369,0.2994484007358551,0.37031546235084534,0.07086706161499023,False,64,256,,,10.02508020401001,0.0050125401020050045,13.227917909622192,0.0026925108395516872,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-SYRs008164_rgb/hashgrid_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-SYRs008164_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name hashgrid_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention_area,6,satburst_synth,UNHCR-SYRs008164_rgb,4,area,hash_attn,hashgrid_tcnn,16,64,2000,35.771888732910156,30.646678924560547,5.125209808349609,0.9244775772094727,0.7823564410209656,0.14212113618850708,0.17126138508319855,0.37031546235084534,0.1990540772676468,False,64,256,1.7421257495880127,0.7366117238998413,13.63436245918274,0.00681718122959137,16.950117111206055,0.0019912528805434704,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-SYRs008164_rgb/hashgrid_level_attention_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-SYRs008164_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation area --run_name hashgrid_level_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.00864535104483366, 0.008340821601450443, 0.008717222139239311, 0.008293187245726585, 0.008743103593587875, 0.00843075755983591, 0.007577504031360149, 0.008608005940914154, 0.008525276556611061, 0.012106560170650482, 0.027845507487654686, 0.04049782082438469, 0.10705716907978058, 0.17671328783035278, 0.25412601232528687, 0.30577242374420166]"
hashgrid_level_attention_s2_psf,6,satburst_synth,UNHCR-SYRs008164_rgb,4,s2_psf,hash_attn,hashgrid_tcnn,16,64,2000,29.699338912963867,30.646678924560547,-0.9473400115966797,0.8194911479949951,0.7823564410209656,0.03713470697402954,0.27691972255706787,0.37031546235084534,0.09339573979377747,False,64,256,1.2898683547973633,0.9178764224052429,15.70865535736084,0.00785432767868042,18.959948539733887,0.0043708221055567265,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-SYRs008164_rgb/hashgrid_level_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-SYRs008164_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation s2_psf --run_name hashgrid_level_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.004318517632782459, 0.0043314495123922825, 0.004168543498963118, 0.003947770223021507, 0.003978673368692398, 0.003985591698437929, 0.003564332379028201, 0.003604789962992072, 0.003395716194063425, 0.00424556341022253, 0.006116868928074837, 0.008154734969139099, 0.028311029076576233, 0.15782716870307922, 0.32554203271865845, 0.43450725078582764]"
fourier_band_attention_area,6,satburst_synth,UNHCR-SYRs008164_rgb,4,area,fourier_band_attn,fourier,8,48,2000,30.426372528076172,30.646678924560547,-0.220306396484375,0.7510910034179688,0.7823564410209656,-0.031265437602996826,0.4409744441509247,0.37031546235084534,-0.07065898180007935,False,64,256,1.9976978302001953,0.4068455100059509,11.719899415969849,0.005859949707984925,14.978902816772461,0.027388622984290123,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-SYRs008164_rgb/fourier_band_attention_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-SYRs008164_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation area --run_name fourier_band_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.09788353741168976, 0.10758711397647858, 0.13707928359508514, 0.1484190821647644, 0.10218545794487, 0.13035443425178528, 0.08980819582939148, 0.18668287992477417]"
fourier_band_attention_s2_psf,6,satburst_synth,UNHCR-SYRs008164_rgb,4,s2_psf,fourier_band_attn,fourier,8,48,2000,28.45931625366211,30.646678924560547,-2.1873626708984375,0.6588291525840759,0.7823564410209656,-0.12352728843688965,0.4912887215614319,0.37031546235084534,-0.12097325921058655,False,64,256,1.985766887664795,0.4168030023574829,13.697442770004272,0.006848721385002136,16.980136394500732,0.03664861246943474,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-SYRs008164_rgb/fourier_band_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-SYRs008164_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation s2_psf --run_name fourier_band_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.09612385928630829, 0.10663671791553497, 0.128347247838974, 0.1443287432193756, 0.10776044428348541, 0.1338796615600586, 0.0996970385313034, 0.18322628736495972]"
fourier_mlp_baseline_area,6,satburst_synth,UNHCR-YEMs035290_rgb,4,area,mlp_tcnn,fourier,8,48,2000,33.3727912902832,26.805137634277344,6.567653656005859,0.9090952277183533,0.6593056321144104,0.24978959560394287,0.2254292517900467,0.4100230634212494,0.1845938116312027,False,64,256,,,7.86969780921936,0.00393484890460968,11.20388388633728,0.003643738804385066,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-YEMs035290_rgb/fourier_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-YEMs035290_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name fourier_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
fourier_mlp_baseline_s2_psf,6,satburst_synth,UNHCR-YEMs035290_rgb,4,s2_psf,mlp_tcnn,fourier,8,48,2000,26.87047004699707,26.805137634277344,0.06533241271972656,0.7828161120414734,0.6593056321144104,0.12351047992706299,0.3217726945877075,0.4100230634212494,0.08825036883354187,False,64,256,,,9.931848764419556,0.004965924382209778,13.12719464302063,0.006537748500704765,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-YEMs035290_rgb/fourier_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-YEMs035290_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name fourier_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_area,6,satburst_synth,UNHCR-YEMs035290_rgb,4,area,mlp_tcnn,hashgrid_tcnn,16,64,2000,33.38885498046875,26.805137634277344,6.583717346191406,0.9137769341468811,0.6593056321144104,0.2544713020324707,0.2160283327102661,0.4100230634212494,0.19399473071098328,False,64,256,,,7.706560373306274,0.003853280186653137,10.986278295516968,0.00250571989454329,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-YEMs035290_rgb/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-YEMs035290_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_s2_psf,6,satburst_synth,UNHCR-YEMs035290_rgb,4,s2_psf,mlp_tcnn,hashgrid_tcnn,16,64,2000,24.985849380493164,26.805137634277344,-1.8192882537841797,0.7384429574012756,0.6593056321144104,0.07913732528686523,0.33140313625335693,0.4100230634212494,0.07861992716789246,False,64,256,,,9.709415674209595,0.004854707837104798,12.92604947090149,0.004308389034122229,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-YEMs035290_rgb/hashgrid_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-YEMs035290_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name hashgrid_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention_area,6,satburst_synth,UNHCR-YEMs035290_rgb,4,area,hash_attn,hashgrid_tcnn,16,64,2000,31.8150634765625,26.805137634277344,5.009925842285156,0.8806861042976379,0.6593056321144104,0.22138047218322754,0.24050267040729523,0.4100230634212494,0.16952039301395416,False,64,256,2.330307722091675,0.47831428050994873,13.742022037506104,0.006871011018753052,17.081795930862427,0.008118148893117905,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-YEMs035290_rgb/hashgrid_level_attention_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-YEMs035290_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation area --run_name hashgrid_level_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.0236116461455822, 0.023427501320838928, 0.024455228820443153, 0.02501390129327774, 0.025559253990650177, 0.027354532852768898, 0.028576740995049477, 0.029860515147447586, 0.03429248929023743, 0.04124249890446663, 0.05504855141043663, 0.08112810552120209, 0.102114737033844, 0.1371324360370636, 0.16212616860866547, 0.17905567586421967]"
hashgrid_level_attention_s2_psf,6,satburst_synth,UNHCR-YEMs035290_rgb,4,s2_psf,hash_attn,hashgrid_tcnn,16,64,2000,25.300107955932617,26.805137634277344,-1.5050296783447266,0.7316733002662659,0.6593056321144104,0.07236766815185547,0.32837095856666565,0.4100230634212494,0.08165210485458374,False,64,256,1.972402811050415,0.603486180305481,15.671633958816528,0.007835816979408263,18.855023622512817,0.011701194569468498,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-YEMs035290_rgb/hashgrid_level_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-YEMs035290_rgb --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation s2_psf --run_name hashgrid_level_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.015809908509254456, 0.015914514660835266, 0.01720592938363552, 0.017719460651278496, 0.017787210643291473, 0.020464850589632988, 0.021334638819098473, 0.02244383841753006, 0.022878173738718033, 0.02615044265985489, 0.03342787176370621, 0.05775362253189087, 0.10762333869934082, 0.15123659372329712, 0.20899420976638794, 0.2432554066181183]"
fourier_band_attention_area,6,satburst_synth,UNHCR-YEMs035290_rgb,4,area,fourier_band_attn,fourier,8,48,2000,27.979610443115234,26.805137634277344,1.1744728088378906,0.7047200202941895,0.6593056321144104,0.04541438817977905,0.4634774327278137,0.4100230634212494,-0.05345436930656433,False,64,256,2.0382370948791504,0.42672431468963623,11.715300798416138,0.005857650399208069,14.990451097488403,0.03580140322446823,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-YEMs035290_rgb/fourier_band_attention_area,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-YEMs035290_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation area --run_name fourier_band_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.09214146435260773, 0.10806494951248169, 0.133137047290802, 0.1303834468126297, 0.10954877734184265, 0.13964048027992249, 0.1297227293252945, 0.15736110508441925]"
fourier_band_attention_s2_psf,6,satburst_synth,UNHCR-YEMs035290_rgb,4,s2_psf,fourier_band_attn,fourier,8,48,2000,25.78961753845215,26.805137634277344,-1.0155200958251953,0.6057088971138,0.6593056321144104,-0.05359673500061035,0.5038456320762634,0.4100230634212494,-0.09382256865501404,False,64,256,2.0355966091156006,0.4211949110031128,13.577991247177124,0.006788995623588562,16.775513172149658,0.05462320148944855,,,/workspaces/scalef/single_samples/satburst_synth/UNHCR-YEMs035290_rgb/fourier_band_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_synth --satburst_data_root data --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:0 --sample_id UNHCR-YEMs035290_rgb --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation s2_psf --run_name fourier_band_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.09802447259426117, 0.10540439933538437, 0.130164235830307, 0.12709598243236542, 0.11811600625514984, 0.13929082453250885, 0.1322866827249527, 0.14961740374565125]"
